(('camera_beats'	 'camera_deictic')	 'slide_deictic'),0
(('camera_beats'	 'camera_deictic')	 'slide_iconic'),0
(('camera_beats'	 'camera_deictic')	 'slide_None'),0
(('camera_beats'	 'camera_deictic')	 'look_down_beats'),0
(('camera_beats'	 'camera_deictic')	 'look_down_metaphoric'),0
(('camera_beats'	 'camera_deictic')	 'look_down_deictic'),0
(('camera_beats'	 'camera_deictic')	 'look_down_iconic'),0
(('camera_beats'	 'camera_deictic')	 'look_down_None'),0
(('camera_beats'	 'camera_deictic')	 'other_beats'),0
(('camera_beats'	 'camera_deictic')	 'other_metaphoric'),0
(('camera_beats'	 'camera_deictic')	 'other_deictic'),0
(('camera_beats'	 'camera_deictic')	 'other_iconic'),0
(('camera_beats'	 'camera_deictic')	 'other_None'),0
(('camera_beats'	 'camera_iconic')	 'camera_beats'),0
(('camera_beats'	 'camera_iconic')	 'camera_metaphoric'),0
(('camera_beats'	 'camera_iconic')	 'camera_deictic'),0
(('camera_beats'	 'camera_iconic')	 'camera_iconic'),0
(('camera_beats'	 'camera_iconic')	 'camera_None'),0
(('camera_beats'	 'camera_iconic')	 'look_away_slide_beats'),0
(('camera_beats'	 'camera_iconic')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'camera_iconic')	 'look_away_slide_deictic'),0
(('camera_beats'	 'camera_iconic')	 'look_away_slide_iconic'),0
(('camera_beats'	 'camera_iconic')	 'look_away_slide_None'),0
(('camera_beats'	 'camera_iconic')	 'slide_beats'),0
(('camera_beats'	 'camera_iconic')	 'slide_metaphoric'),0
(('camera_beats'	 'camera_iconic')	 'slide_deictic'),0
(('camera_beats'	 'camera_iconic')	 'slide_iconic'),0
(('camera_beats'	 'camera_iconic')	 'slide_None'),0
(('camera_beats'	 'camera_iconic')	 'look_down_beats'),0
(('camera_beats'	 'camera_iconic')	 'look_down_metaphoric'),0
(('camera_beats'	 'camera_iconic')	 'look_down_deictic'),0
(('camera_beats'	 'camera_iconic')	 'look_down_iconic'),0
(('camera_beats'	 'camera_iconic')	 'look_down_None'),0
(('camera_beats'	 'camera_iconic')	 'other_beats'),0
(('camera_beats'	 'camera_iconic')	 'other_metaphoric'),0
(('camera_beats'	 'camera_iconic')	 'other_deictic'),0
(('camera_beats'	 'camera_iconic')	 'other_iconic'),0
(('camera_beats'	 'camera_iconic')	 'other_None'),0
(('camera_beats'	 'camera_None')	 'camera_metaphoric'),0
(('camera_beats'	 'camera_None')	 'camera_deictic'),0
(('camera_beats'	 'camera_None')	 'camera_iconic'),0
(('camera_beats'	 'camera_None')	 'look_away_slide_beats'),0
(('camera_beats'	 'camera_None')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'camera_None')	 'look_away_slide_deictic'),0
(('camera_beats'	 'camera_None')	 'look_away_slide_iconic'),0
(('camera_beats'	 'camera_None')	 'slide_metaphoric'),0
(('camera_beats'	 'camera_None')	 'slide_deictic'),0
(('camera_beats'	 'camera_None')	 'slide_iconic'),0
(('camera_beats'	 'camera_None')	 'look_down_beats'),0
(('camera_beats'	 'camera_None')	 'look_down_metaphoric'),0
(('camera_beats'	 'camera_None')	 'look_down_deictic'),0
(('camera_beats'	 'camera_None')	 'look_down_iconic'),0
(('camera_beats'	 'camera_None')	 'look_down_None'),0
(('camera_beats'	 'camera_None')	 'other_beats'),0
(('camera_beats'	 'camera_None')	 'other_metaphoric'),0
(('camera_beats'	 'camera_None')	 'other_deictic'),0
(('camera_beats'	 'camera_None')	 'other_iconic'),0
(('camera_beats'	 'camera_None')	 'other_None'),0
(('camera_beats'	 'look_away_slide_beats')	 'camera_beats'),0
(('camera_beats'	 'look_away_slide_beats')	 'camera_metaphoric'),0
(('camera_beats'	 'look_away_slide_beats')	 'camera_deictic'),0
(('camera_beats'	 'look_away_slide_beats')	 'camera_iconic'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_away_slide_beats'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_away_slide_deictic'),0
